drug_name,dosage_name,is_specialty
Actemra Actpen,Actemra Actpen SOLN AUTO-INJ 162MG/0.9ML,False
Acthar,Acthar GEL 80UNIT/ML,False
Acthar,Acthar Gel PEN 40UNIT/0.5ML,False
Actigall,Actigall CAP 300MG,False
Actonel,Actonel TAB 150MG,False
Actonel,Actonel TAB 30MG,False
Actonel,Actonel TAB 35MG,False
Actonel,Actonel TAB 5MG,False
Actos,Actos TAB 15MG,False
Actos,Actos TAB 45MG,False
Actos,Actos TAB 30MG,False
Acular,Acular SOLN 0.5%,False
Acular LS,Acular LS SOLN 0.4%,False
Acuvail,Acuvail SOLN 0.45%,False
Acyclovir,Acyclovir TAB 400MG,False
Acyclovir,Acyclovir TAB 800MG,False
Acyclovir,Acyclovir CAP 200MG,False
Acyclovir,Acyclovir OINT 5%,False
Acyclovir,Acyclovir CREAM 5%,False
Acyclovir,Acyclovir INJ 200MG/5ML,False
Acyclovir Sodium,Acyclovir Sodium SOLN 50MG/ML,False
Aczone,Aczone GEL 5%,False
Adacel,Adacel INJ 5-2-15.5LF-MCG/0.5,False
Adalat CC,Adalat CC TAB 30MG,False
Adalat CC,Adalat CC TAB 90MG,False
Adalimumab-Aacf,Adalimumab-Aacf (2 Pen) AUTO-INJ KIT 40MG/0.8ML,False
Adalimumab-Aacf (2 Syringe),Adalimumab-Aacf (2 Syringe) SYR KIT 40MG/0.8ML,False
Adalimumab-Aaty (1 Pen),Adalimumab-Aaty (1 Pen) AUTO-INJ KIT 80MG/0.8ML,False
Adalimumab-Aaty (1 Pen),Adalimumab-Aaty (1 Pen) AUTO-INJ KIT 40MG/0.4ML,False
Adalimumab-Aaty (2 Pen),Adalimumab-Aaty (2 Pen) AUTO-INJ KIT 40MG/0.4ML,False
Adalimumab-Aaty (2 Syringe),Adalimumab-Aaty (2 Syringe) SYR KIT 40MG/0.4ML,False
Adalimumab-Aaty (2 Syringe),Adalimumab-Aaty (2 Syringe) SYR KIT 20MG/0.2ML,False
Adalimumab-Adaz,Adalimumab-Adaz INJ 40MG/0.4ML,False
Adalimumab-Adaz,Adalimumab-Adaz SOLN AUTO-INJ 40MG/0.4ML,False
Adalimumab-Adbm (2 Pen),Adalimumab-Adbm (2 Pen) AUTO-INJ KIT 40MG/0.8ML,False
Adalimumab-Adbm (2 Pen),Adalimumab-Adbm (2 Pen) AUTO-INJ KIT 40MG/0.4ML,False
Adalimumab-Fkjp,Adalimumab-Fkjp AUTO-INJ KIT 40MG/0.8ML,False
Adalimumab-Fkjp,Adalimumab-Fkjp SYR KIT 20MG/0.4ML,False
Adalimumab-Fkjp,Adalimumab-Fkjp SYR KIT 40MG/0.8ML,False
Adalimumab-Ryvk (2 Pen),Adalimumab-Ryvk (2 Pen) AUTO-INJ KIT 40MG/0.4ML,False
Adapalene,Adapalene GEL 0.1%,False
Adapalene,Adapalene GEL 0.3%,False
Adapalene-Benzoyl Peroxide,Adapalene-Benzoyl Peroxide GEL 0.1-2.5%,False
Adapalene-Benzoyl Peroxide,Adapalene-Benzoyl Peroxide GEL 0.3-2.5%,False
Adcirca,Adcirca TAB 20MG,False
Adderall,Adderall TAB 7.5MG,False
